Name en-US,Name zh-CN,Alias en-US,Alias zh-CN,Group en-US,Group zh-CN,Subgroup en-US,Subgroup zh-CN,Video FX,Transition FX,Media Generator FX,Composite Mode FX,UID
Ignite Electro,Ignite 电路电子粒子,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,√,,{Svfx:com.FXHOME.HitFilm.Electro}
Ignite Emboss,Ignite 浮雕,,,Ignite Pro,Ignite Pro,Ignite - Stylize,Ignite - 风格化,√,,,,{Svfx:com.FXHOME.HitFilm.Emboss}
Ignite End Credits Crawl,Ignite 剧终鸣谢字幕,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.CreditsTextCrawl}
Ignite Energy Distortion,Ignite 能量扭曲,,,Ignite Pro,Ignite Pro,Ignite - Distort,Ignite - 扭曲,√,,,,{Svfx:com.FXHOME.HitFilm.EnergyDistortion}
Ignite Erode White,Ignite 侵蚀白色(不透明区),,,Ignite Pro,Ignite Pro,Ignite - Keying - Matte Enhancement,Ignite - 键控 - 蒙版增强,√,,,,{Svfx:com.FXHOME.HitFilm.ErodeWhite}
Ignite Exposure Pro,Ignite 曝光效果专业版,,,Ignite Pro,Ignite Pro,Ignite - Color Correction,Ignite - 颜色校正,√,,,,{Svfx:com.FXHOME.HitFilm.ExposurePro}
Ignite Film Damage,Ignite 胶片损坏,,,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.FilmDamage}
Ignite Film Grain,Ignite 胶片颗粒,,,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.FilmGrain}
Ignite Find Edges,Ignite 查找边缘,,,Ignite Pro,Ignite Pro,Ignite - Stylize,Ignite - 风格化,√,,,,{Svfx:com.FXHOME.HitFilm.FindEdges}
Ignite Fire,Ignite 火焰,,,Ignite Pro,Ignite Pro,Ignite - Particles & Simulation,Ignite - 粒子与仿真,√,,√,,{Svfx:com.FXHOME.HitFilm.Fire}
Ignite Flicker,Ignite 闪烁器,,,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.Flicker}
Ignite Fluid Distortion,Ignite 液体扭曲,,,Ignite Pro,Ignite Pro,Ignite - Distort,Ignite - 扭曲,√,,,,{Svfx:com.FXHOME.HitFilm.FluidDistortion}
Ignite Fractal Noise,Ignite 分形噪波,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,√,,{Svfx:com.FXHOME.HitFilm.FractalNoise}
Ignite Gleam,Ignite 微光闪烁,,,Ignite Pro,Ignite Pro,Ignite - Lights & Flares,Ignite - 灯光与耀斑,√,,,,{Svfx:com.FXHOME.HitFilm.Gleam}
Ignite Glow,Ignite 发光,,,Ignite Pro,Ignite Pro,Ignite - Lights & Flares,Ignite - 灯光与耀斑,√,,,,{Svfx:com.FXHOME.HitFilm.Glow}
Ignite Glow Darks,Ignite 黑色发光,,,Ignite Pro,Ignite Pro,Ignite - Stylize,Ignite - 风格化,√,,,,{Svfx:com.FXHOME.HitFilm.GlowDarks}
Ignite Grading Transfer,Ignite 分级转移,,,Ignite Pro,Ignite Pro,Ignite - Color Grading,Ignite - 颜色分级,,,,√,{Svfx:com.FXHOME.HitFilm.GradingTransfer}
Ignite Grain,Ignite 颗粒,,,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.Grain}
Ignite Grain Removal,Ignite 颗粒移除,,,Ignite Pro,Ignite Pro,Ignite - Video Clean-up,Ignite - 视频清理,√,,,,{Svfx:com.FXHOME.HitFilm.GrainRemoval}
Ignite Grid,Ignite 网格,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.Grid}
Ignite Gunfire,Ignite 枪口火焰,,,Ignite Pro,Ignite Pro,Ignite - Particles & Simulation,Ignite - 粒子与仿真,√,,√,,{Svfx:com.FXHOME.HitFilm.MuzzleFlash}
Ignite Half Tone,Ignite 圆点半色调,,,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.HalfTone}
Ignite Half Tone Color,Ignite 圆点半色调彩色,,,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.HalfToneColor}
