Name en-US,Name zh-CN,Alias en-US,Alias zh-CN,Group en-US,Group zh-CN,Subgroup en-US,Subgroup zh-CN,Video FX,Transition FX,Media Generator FX,Composite Mode FX,UID
(Legacy) Text,(自带) 文字,,(继承) 文字、(旧版) 文字,VEGAS,VEGAS,(DXT FX),(DXT 效果),,,√,,{0FE8789D-0C47-442A-AFB0-0DAF97669317}
3D Blow Apart,NB_3D爆炸,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DBlowApart}
3D Blow Apart,NB_3E 3D吹开,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{94604CEC-B622-4BF1-BA35-22583D1A049F}
3D Bouncing Cubes,NB_3E 3D跳动的立方体,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{3F308FC0-D5D0-498D-9D90-FA1C53984E29}
3D Bouncing Cubes,NB_弹性立方体,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DBouncingCubes}
3D Bouncing Frames,NB_3E 3D跳跃的画框,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{B5AB247A-0E95-4EAD-9D68-8D56BB0F740E}
3D Bouncing Frames,NB_弹性框,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DBouncingFrames}
3D Box Explode,NB_3E 3D盒状爆炸,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{C4AC814B-8EF0-4942-92BA-663BF216068F}
3D Box Explode,NB_箱子爆炸,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DBoxExplode}
3D Box Fold,NB_3T 3D盒状折叠,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{12090C0B-A3F0-424A-A057-7D5945079B83}
3D Box Fold,NB_箱子折叠,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DBoxFold}
3D Checker Board,NB_3D棋盘,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DCheckerBoard}
3D Checker Board,NB_3T 3D棋盘格,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{E78D114C-AD29-437C-BDC1-06528AC96170}
3D Comb,NB_3D梳子,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DComb}
3D Comb,NB_3T 3D梳状,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{B7ACDA34-0FE3-4C95-8C3A-C60D6D5EFD32}
3D Confetti,NB_3D纸屑,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DConfetti}
3D Confetti,NB_3E 3D五彩纸屑,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{30A86842-F0C5-46FB-AEE0-E1D47A27BEED}
3D Confetti,NB_SP 3D五彩纸屑,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{FD7F1B44-8FB7-4541-A461-2F47C42C7480}
3D Flip,NB_3D翻转,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DFlip}
3D Flip,NB_3T 3D翻转,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{5EBF82D1-FF31-4498-B31F-6B2413B0AB2E}
3D Fly Away,NB_3D飞行,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DFlyAway}
3D Fly Away,NB_3T 3D飞离,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{0F5E3909-4609-40C3-9197-7E053B514BE7}
3D Grid Blast,NB_3D网格冲击,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DGridBlast}
3D Grid Blast,NB_3E 3D平面爆炸,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{D77294FB-EB00-474F-8888-01B6EE2834DC}
3D Grid Explosion,NB_3D网格爆炸,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DGridExplosion}
3D Grid Explosion,NB_3E 3D网格爆炸,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{FA56A122-3175-449A-8638-33C2446D6CAE}
3D Grid Fall Away,NB_3D网格分离,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DGridFallAway}
3D Grid Fall Away,NB_3E 3D网格渐退,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{64D46BAA-1D50-498F-B5C2-83E05A59B15D}
3D Intensity Grid,NB_3D强度网格,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DIntensityGrid}
3D Intensity Grid,NB_3E 3D亮度网格,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{7DA4EAB9-045E-4042-BB42-0C4BF25D2CA3}
3D Louver Grid,NB_3D百叶窗网格,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DLouverGrid}
3D Louver Grid,NB_3T 3D百叶窗网格,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{DC3A1CD2-920F-4D93-BB31-ECCD1C3C8C7C}
3D Louvers,NB_3D百叶窗,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DLouvers}
3D Louvers,NB_3T 3D百叶窗,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{E2A630CF-4BFF-485D-808D-F7D0F03401C4}
3D LUT Creator,3D LUT 创建器,,,Others,其他,3D LUT Creator,3D LUT 创建器,√,,,,{Svfx:openfx.3DLutCreatorPlugin}
3D Magic Carpet,NB_3D魔法飞毯,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DMagicCarpet}
3D Magic Carpet,NB_3T 3D魔毯,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{9C47085A-A97A-4EB5-9513-16C8FF158802}
3D Page Turn,NB_3D翻页,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DPageTurn}
3D Page Turn,NB_3T 3D翻页,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{5C06C28E-817D-4F10-99F1-9CF7336FB555}
3D Pizza Boxes,NB_3T 3D比萨盒,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{7D684FA0-5E1B-4974-90AD-04140D98FBB7}
3D Pizza Boxes,NB_SP 3D比萨盒,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{3558804A-1806-4AFC-B309-F34C0B03743B}
3D Rotating Frames,NB_3D旋转框,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DRotatingFrames}
3D Rotating Frames,NB_3T 3D旋转框,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{B89AE8E6-4AA9-494E-B097-6AA0E6FBA94E}
3D Sliced Cubes,NB_3D切片立方体,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DSlicedCubes}
3D Spiral,NB_3D螺旋,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DSpiral}
3D Spiral,NB_3E 3D螺旋形,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{84CD0956-2ADF-482B-A9CB-CBDDAD095EEF}
3D Spiral Bounce,NB_3D螺旋弹跳,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DSpiralBounce}
3D Spiral Bounce,NB_3T 3D螺旋形弹跳,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{F9799A47-39FF-432F-B765-02622DE559B7}
3D Spiral Rotation,NB_3D螺旋旋转,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DSpiralRotation}
3D Spiral Rotation,NB_3E 3D螺旋旋转,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{6A5F9D27-2BD4-4DA5-9F8C-A5BAF0D7BD60}
3D Twist,NB_3D转动,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DTwist}
3D Twist,NB_3T 3D扭曲,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{0DB629EF-45A8-4A6B-8DA5-125001B76C6B}
3D Vortex,NB_3D旋涡,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DVortex}
3D Vortex,NB_3E 3D漩涡,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{CC1E99A0-3734-4323-8C2F-887D6332E020}
3D Wiggle,NB_3D摆动,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DWiggle}
3D Wiggle,NB_3E 3D摆动,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{46C0B731-A9D0-4D01-BB19-D400BDB9020D}
AAV ColorLab,AAV ColorLab,,,Others,其他,(DXT FX),(DXT 效果),√,,,,{876AE3FF-8886-40D8-A9A9-B67C101BEFCB}
AAV TransLab,AAV TransLab,,,Others,其他,(DXT FX),(DXT 效果),,√,,,{D13A6405-A3D4-4927-B85A-5C7998C0A1E2}
Active Camera,NB_ME 视角,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),√,,,,{075C7849-6F3F-4851-A541-4C80656F6D6E}
Active Camera,NB_SP 活动的摄像机,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),√,,,,{9AA1A028-66AA-4ECB-B77A-405D38C846AD}
Active Camera,NB_活动摄像机,,,NewBlue OFX,NewBlue OFX,NewBlue Elements,NewBlue 基础,√,,,,{Svfx:com.NewBlue.ELActiveCamera}
Air Brush,NB_AE 渐变色调,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),√,,,,{952FB6E1-477A-4770-AF38-661F9AF5AB8D}
Air Brush,NB_SP 环境刷,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),√,,,,{505CE473-6108-4C9B-8F4E-757B25AA70A5}
Air Brush,NB_气刷/喷枪/雾化,,,NewBlue OFX,NewBlue OFX,NewBlue Stylizers,NewBlue 风格化,√,,,,{Svfx:com.NewBlue.STAirBrush}
Alpha Processor,NB_Alpha处理器,,,NewBlue OFX,NewBlue OFX,NewBlue Elements,NewBlue 基础,√,,,,{Svfx:com.NewBlue.ELAlphaProcessor}
Alpha Processor,NB_V5 Alpha处理器,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),√,,,,{3B1813AD-C90C-4FDF-A245-EAA43FA7B05F}
Ambient Light,Ambient Light,,,DFT,DFT,DFT v1 Light,DFT v1 Light,√,,,,{Svfx:com.digitalfilmtools.ofx.dft1.ambientLight}
Aspect Ratio,NB_画面宽高比,,,NewBlue OFX,NewBlue OFX,NewBlue Essentials,NewBlue 必备,√,,,,{Svfx:com.NewBlue.ESAspectRatio}
Auto Contrast,NB_V3 自动对比度,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),√,,,,{4EAFFE3B-2326-49AF-BAAD-5BB082E7AA9A}
Auto Contrast,NB_自动对比度,,,NewBlue OFX,NewBlue OFX,NewBlue Essentials,NewBlue 必备,√,,,,{Svfx:com.NewBlue.ESAutoContrast}
Auto Pan,NB_自动平移缩放,,,NewBlue OFX,NewBlue OFX,NewBlue Elements,NewBlue 基础,√,,,,{Svfx:com.NewBlue.ELAutoPan}
Background Generator,NB_V5 背景发生器,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),√,,,,{66C7AE8B-BA70-49CF-AFAB-BF05FE6E8E52}
Background Generator,NB_背景生成器,,,NewBlue OFX,NewBlue OFX,NewBlue Elements,NewBlue 基础,√,,,,{Svfx:com.NewBlue.ELBackgroundGenerator}
BCC 2D Particles,BCC 2D粒子,,,BCC,BCC,BCC Particles,BCC 粒子,√,,,,{Svfx:com.borisfx:BCC32D_Particles}
BCC 3D Extruded Image Shatter,BCC 3D挤压图像破碎器,,,BCC,BCC,BCC Perspective,BCC 透视,√,√,,,{Svfx:com.borisfx:BCC_3D_Extruded_Image_Shatter}
BCC 3D Image Shatter,BCC 3D图像破碎器,,,BCC,BCC,BCC Perspective,BCC 透视,√,√,,,{Svfx:com.borisfx:BCC33D_Image_Shatter}
BCC Alpha Pixel Noise OBS,BCC Alpha像素噪点 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Alpha_Pixel_Noise}
BCC Alpha Process,BCC Alpha处理,,,BCC,BCC,BCC Key and Blend,BCC 键控与合成,√,,,,{Svfx:com.borisfx:BCC3Alpha_Process}
BCC Alpha Spotlight OBS,BCC Alpha聚光灯 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Alpha_Spotlight}
BCC Artist's Poster,BCC 艺术家海报,,,BCC,BCC,BCC Art Looks,BCC 艺术效果,√,,,,{Svfx:com.borisfx:BCC3Artists_Poster}
BCC Beauty Studio OBSOLETE,BCC 磨皮美容工作室 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC_Beauty_Studio}
BCC Blobs Wipe,BCC 斑点擦除,,,BCC,BCC,BCC Transitions,BCC 转场,√,√,,,{Svfx:com.borisfx:BCC_Blobs_Wipe}
BCC Blur Dissolve OBSOLETE,BCC 模糊淡化 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,,√,,,{Svfx:com.borisfx:BCC_Blur_Dissolve}
BCC Boost Blend OBS,BCC 增强合成 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,,,,√,{Svfx:com.borisfx:BCC3Boost_Blend}
BCC Brick OBSOLETE,BCC 砖块 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Brick}
BCC Brightness-Contrast,BCC 亮度对比度,,,BCC,BCC,BCC Color and Tone,BCC 颜色与色调,√,,,,{Svfx:com.borisfx:BCC3Brightness_Contrast}
BCC Broadcast Safe,BCC 广播颜色安全,,,BCC,BCC,BCC Image Restoration,BCC 图像修复,√,,,√,{Svfx:com.borisfx:BCC_Broadcast_Safe}
BCC Bulge,BCC 凸出/凹陷,,,BCC,BCC,BCC Warp,BCC 变形,√,,,,{Svfx:com.borisfx:BCC3Bulge}
BCC Bump Map,BCC 凹凸贴图,,,BCC,BCC,BCC Art Looks,BCC 艺术效果,√,,,,{Svfx:com.borisfx:BCC3Bump_Map}
BCC Burnt Film,BCC 燃烧的胶片,,,BCC,BCC,BCC Transitions,BCC 转场,√,√,,,{Svfx:com.borisfx:BCC3Burnt_Film}
BCC Cartoon Look,BCC 卡通效果,,,BCC,BCC,BCC Art Looks,BCC 艺术效果,√,,,,{Svfx:com.borisfx:BCC6Cartoon2Look}
BCC Cartooner,BCC 卡通轮廓,,,BCC,BCC,BCC Art Looks,BCC 艺术效果,√,,,,{Svfx:com.borisfx:BCC3Cartooner}
BCC Cast Shadow,BCC 投射阴影,,,BCC,BCC,BCC Stylize,BCC 风格化,√,,,,{Svfx:com.borisfx:BCC_Cast_Shadow}
BCC Caustics,BCC 池底光纹,,,BCC,BCC,BCC Textures,BCC 纹理,√,,,,{Svfx:com.borisfx:BCC3Caustics}
BCC Charcoal Sketch,BCC 炭笔素描,,,BCC,BCC,BCC Art Looks,BCC 艺术效果,√,,,,{Svfx:com.borisfx:BCC6Charcoal_Sketch}
BCC Checker Wipe,BCC 棋盘擦除,,,BCC,BCC,BCC Transitions,BCC 转场,√,√,,,{Svfx:com.borisfx:BCCChecker_Wipe}
BCC Chroma Key,BCC 色度键,,,BCC,BCC,BCC Key and Blend,BCC 键控与合成,√,,,,{Svfx:com.borisfx:BCC3Chroma_Key}
BCC Chroma Key Studio,BCC 色度键工作室,,,BCC,BCC,BCC Key and Blend,BCC 键控与合成,√,,,√,{Svfx:com.borisfx:BCC_Chroma_Key_Studio}
BCC Cloth OBSOLETE,BCC 布 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Cloth}
BCC Clouds OBSOLETE,BCC 云 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Clouds}
BCC Color Balance,BCC 色彩平衡,,,BCC,BCC,BCC Color and Tone,BCC 颜色与色调,√,,,,{Svfx:com.borisfx:BCC3Color_Balance}
BCC Color Choker,BCC 颜色抑制器,,,BCC,BCC,BCC Stylize,BCC 风格化,√,,,,{Svfx:com.borisfx:BCC4Color_Choker}
BCC Color Correction,BCC 颜色校正,,,BCC,BCC,BCC Color and Tone,BCC 颜色与色调,√,,,,{Svfx:com.borisfx:BCC3Color_Correction}
BCC Color Match,BCC 颜色匹配,,,BCC,BCC,BCC Color and Tone,BCC 颜色与色调,√,,,,{Svfx:com.borisfx:BCC3Color_Match}
BCC Color Palette OBS,BCC 调色板 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Color_Palette}
BCC Colorize,BCC 着色,,,BCC,BCC,BCC Color and Tone,BCC 颜色与色调,√,,,,{Svfx:com.borisfx:BCC3Colorize}
BCC Colorize Glow,BCC 着色发光,,,BCC,BCC,BCC Stylize,BCC 风格化,√,,,,{Svfx:com.borisfx:BCC3Colorize_Glow}
BCC Colorize Glow Dissolve,BCC 着色发光淡化,,,BCC,BCC,BCC Transitions,BCC 转场,,√,,,{Svfx:com.borisfx:BCC_Colorize_Glow_Dissolve}
BCC Comet OBSOLETE,BCC 彗星 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Comet}
BCC Composite,BCC 合成,,,BCC,BCC,BCC Key and Blend,BCC 键控与合成,,,,√,{Svfx:com.borisfx:BCC3Composite}
BCC Composite Choker,BCC 合成抑制(遮罩调整),,,BCC,BCC,BCC Key and Blend,BCC 键控与合成,√,,,,{Svfx:com.borisfx:BCC3Composite_Choker}
BCC Composite Dissolve,BCC 合成擦除,,,BCC,BCC,BCC Transitions,BCC 转场,,√,,,{Svfx:com.borisfx:BCC_Composite_Dissolve}
BCC Corner Pin OBS,BCC 边角定位 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,,,,√,{Svfx:com.borisfx:BCC3CornerPin}
BCC Corner Pin Studio,BCC 边角定位工作室,,,BCC,BCC,BCC Match Move,BCC 匹配运动,√,,,√,{Svfx:com.borisfx:BCC_Corner_Pin_Studio}
BCC Correct Selected Color,BCC 校正所选颜色,,,BCC,BCC,BCC Color and Tone,BCC 颜色与色调,√,,,,{Svfx:com.borisfx:BCC3Correct_Selected_Color}
BCC Crash Zoom Dissolve OBSOLETE,BCC 快速拉镜淡化 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,,√,,,{Svfx:com.borisfx:BCC_Crash_Zoom_Dissolve}
BCC Criss-Cross Wipe,BCC 十字交叉擦除,,,BCC,BCC,BCC Transitions,BCC 转场,√,√,,,{Svfx:com.borisfx:BCC3Criss_Cross_Wipe}
BCC Cross Glitch OBSOLETE,BCC 交叉故障 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,,√,,,{Svfx:com.borisfx:BCC_Cross_Glitch}
BCC Cross Melt,BCC 交叉融化,,,BCC,BCC,BCC Transitions,BCC 转场,,√,,,{Svfx:com.borisfx:BCC_Cross_Melt}
BCC Cross Zoom OBSOLETE,BCC 交叉拉镜 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,,√,,,{Svfx:com.borisfx:BCC_Cross_Zoom}
BCC Curl,BCC 卷曲,,,BCC,BCC,BCC Warp,BCC 变形,√,,,,{Svfx:com.borisfx:BCC_Curl}
BCC Curl Dissolve,BCC 卷曲淡化,,,BCC,BCC,BCC Transitions,BCC 转场,,√,,,{Svfx:com.borisfx:BCC_Curl_Dissolve}
BCC Cylinder,BCC 圆筒,,,BCC,BCC,BCC Perspective,BCC 透视,√,,,,{Svfx:com.borisfx:BCC3Cylinder}
BCC Damaged TV,BCC 损坏的电视,,,BCC,BCC,BCC Stylize,BCC 风格化,√,,,,{Svfx:com.borisfx:BCC4Damaged_TV}
BCC Damaged TV Dissolve,BCC 电视损坏淡化,,,BCC,BCC,BCC Transitions,BCC 转场,,√,,,{Svfx:com.borisfx:BCC_Damaged_TV_Dissolve}
BCC Deinterlace,BCC 反交错,,,BCC,BCC,BCC Film Style,BCC 电影胶片风格,√,,,,{Svfx:com.borisfx:BCC3Deinterlace}
BCC Directional Blur OBSOLETE,BCC 方向模糊 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Directional_Blur}
BCC Displacement Map,BCC 置换贴图,,,BCC,BCC,BCC Warp,BCC 变形,√,,,√,{Svfx:com.borisfx:BCC3Displacement_Map}
BCC Drop Shadow,BCC 下拉阴影,,,BCC,BCC,BCC Stylize,BCC 风格化,√,,,,{Svfx:com.borisfx:BCC3Drop_Shadow}
BCC Dropout Fixer,BCC 干扰/伪像修复,,,BCC,BCC,BCC Image Restoration,BCC 图像修复,√,,,,{Svfx:com.borisfx:BCC_Dropout_Fixer}
BCC Dust and Scratches,BCC 灰尘和划痕,,,BCC,BCC,BCC Image Restoration,BCC 图像修复,√,,,,{Svfx:com.borisfx:BCC3Dust_and_Scratches}
BCC DV Fixer OBSOLETE,BCC DV修复(锯齿修复) 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC6DV_Fixer}
BCC DVE Basic OBSOLETE,BCC DVE三维变换基础 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3DVE_Basic}
BCC DVE OBSOLETE,BCC DVE三维变换 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3DVE}
BCC Edge Bevel OBS,BCC 边缘斜面 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC4Edge_Bevel}
BCC Edge Grunge,BCC 边缘污渍(文字Logo),,,BCC,BCC,BCC Stylize,BCC 风格化,√,,,,{Svfx:com.borisfx:BCC_Edge_Grunge}
BCC Edge Lighting,BCC 边缘发光,,,BCC,BCC,BCC Lights,BCC 灯光,√,,,,{Svfx:com.borisfx:BCC3Edge_Lighting}
BCC Emboss,BCC 浮雕,,,BCC,BCC,BCC Stylize,BCC 风格化,√,,,,{Svfx:com.borisfx:BCC3Emboss}
BCC Extruded EPS,BCC 挤压EPS,,,BCC,BCC,BCC 3D Objects,BCC 3D物体,√,,,,{Svfx:com.borisfx:ScriptEP}
BCC Extruded Spline,BCC 挤压形状,,,BCC,BCC,BCC 3D Objects,BCC 3D物体,√,,,,{Svfx:com.borisfx:ScriptSP}
BCC Extruded Text,BCC 挤压文字,,,BCC,BCC,BCC 3D Objects,BCC 3D物体,√,,,,{Svfx:com.borisfx:ScriptET}
BCC Fast Film Glow Dissolve OBSOLETE,BCC 快速胶片发光淡化 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,,√,,,{Svfx:com.borisfx:BCC_Fast_Film_Glow_Dissolve}
BCC Fast Film Glow OBSOLETE,BCC 快速胶片发光 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC_Film_Glow_Fast}
BCC Fast Film Process OBSOLETE,BCC 快速胶片处理 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC_Fast_Film_Process}
BCC Fast Flipper,BCC 快速翻转与镜像,,,BCC,BCC,BCC Perspective,BCC 透视,√,,,,{Svfx:com.borisfx:BCC3Fast_Flipper}
BCC Fast Lens Blur,BCC 快速镜头模糊,,,BCC,BCC,BCC Blur,BCC 模糊,√,,,√,{Svfx:com.borisfx:BCC_Fast_Lens_Blur}
BCC Film Damage OBSOLETE,BCC 胶片损坏 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Film_Damage}
BCC Film Glow Dissolve OBS,BCC 胶片发光淡化 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,,√,,,{Svfx:com.borisfx:BCC_Film_Glow_Dissolve}
BCC Film Glow OBS,BCC 胶片发光 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Ultra_Glow}
BCC Film Grain OBSOLETE,BCC 胶片颗粒 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Film_Grain}
BCC Film Process OBS,BCC 胶片处理 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Film_Process}
BCC Fire OBS,BCC 火焰 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Fire}
BCC Flicker Fixer,BCC 闪烁修正器,,,BCC,BCC,BCC Image Restoration,BCC 图像修复,√,,,,{Svfx:com.borisfx:BCC3Flicker_Fixer}
BCC Flutter Cut OBSOLETE,BCC 颤振闪屏 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,√,,,{Svfx:com.borisfx:BCCFlutter}
BCC Fractal Noise OBSOLETE,BCC 分形噪波 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Fractal_Noise}
BCC FX Browser,BCC 特效浏览器,,,BCC,BCC,BCC Browser,BCC 浏览器,√,,,,{Svfx:com.borisfx:BCCFXBrowser}
BCC Gaussian Blur OBSOLETE,BCC 高斯模糊 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Gaussian_Blur}
BCC Glare OBSOLETE,BCC 炫光 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Glare}
BCC Glint OBSOLETE,BCC Glint闪光 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Glint}
BCC Glitter OBSOLETE,BCC Glitter闪光 旧,,,BCC,BCC,BCC Obsolete,BCC 旧式,√,,,,{Svfx:com.borisfx:BCC3Glitter}
